YEAR;CODIGO DEPARTAMENTO;DEPARTAMENTO;POBLACION 5-16;TASA MATRICULACION 5-16;COBERTURA NETA;COBERTURA NETA TRANSICION;COBERTURA NETA PRIMARIA;COBERTURA NETA SECUNDARIA;COBERTURA NETA MEDIA;TAMANO PROMEDIO DE GRUPO;SEDES CONECTADAS A INTERNET;DESERCION;DESERCION TRANSICION;DESERCION PRIMARIA;DESERCION SECUNDARIA;DESERCION MEDIA;APROBACION;APROBACION TRANSICION;APROBACION PRIMARIA;APROBACION SECUNDARIA;APROBACION MEDIA;REPROBACION;REPROBACION TRANSICION;REPROBACION PRIMARIA;REPROBACION SECUNDARIA;REPROBACION MEDIA
2016;68;Santander;402.820;952;95;5.967;9.475;83;5.045;24.887;3.265;397;51;317;517;276;8.989;9.439;9.298;8.462;9.108;614;52;385;1.022;615
2016;70;Sucre;198.817;968;9.672;6.446;9.601;7.419;448;23.034;5.554;295;314;234;397;227;8.741;9.542;8.895;821;895;964;144;871;1.393;823
2016;73;Tolima;306.395;847;8.459;4.933;8.247;712;4.423;25.322;4.063;37;402;297;491;28;8.931;9.528;9.164;8.443;911;698;7;538;1.067;61
2016;76;Valle del Cauca;873.706;814;8.123;4.712;7.838;6.991;4.143;24.647;6.306;434;481;356;549;35;8.872;9.455;9.133;8.381;9.079;694;64;511;1.069;571
2016;81;Arauca;75.185;74;7.395;4.572;7.341;566;3.026;20.236;1.329;372;445;299;475;361;9.628;9.555;9.701;9.525;9.637;0;0;0;0;2
2016;85;Casanare;88.003;1.002;10.018;674;9.915;822;4.743;24.825;3.842;421;401;359;562;27;9.023;9.578;9.286;8.468;9.234;556;21;356;97;496
2016;86;Putumayo;91.441;761;7.609;3.427;7.399;6.426;3.265;26.859;1.608;753;757;666;918;591;8.613;922;8.875;8.076;881;634;23;459;1.006;6
2016;88;San Andres;15.167;682;6.815;469;7.028;6.046;3.867;2.596;7.917;226;109;23;266;162;9.773;9.891;977;9.734;9.829;1;0;0;0;1
2016;91;Amazonas;22.243;814;8.135;4.544;8.027;5.977;2.664;21.218;2.661;506;523;275;849;596;8.911;9.445;9.128;8.446;8.825;583;32;597;705;579
2016;94;Guainia;11.935;776;7.764;5.882;7.591;355;901;26.299;1.889;821;963;664;1.116;6;7.485;8.269;772;6.565;8.124;1.694;767;1.616;2.319;1.277
2016;95;Guaviare;31.671;548;5.483;2.599;5.338;4.152;2.119;27.866;1.975;47;532;359;647;445;8.919;9.416;9.148;8.422;8.888;611;51;493;93;667
2016;97;Vaupes;12.654;642;6.417;2.391;6.333;3.809;1.267;1.421;2.566;66;637;497;1.015;511;8.311;9.345;8.291;8.029;8.784;1.029;19;1.212;956;706
2016;99;Vichada;21.951;778;7.778;4.152;8.009;3.458;1.469;17.248;4.158;816;1.014;771;909;622;7.803;8.805;7.521;7.937;8.822;1.381;18;1.708;1.153;557
2017;5;Antioquia;1.270.105;861;86;5.658;833;7.393;4.285;31.728;3.285;415;356;328;569;339;8.868;9.626;908;8.367;9.095;716;19;592;1.064;566
2017;8;Atlantico;518.257;911;9.072;5.852;8.759;7.665;5.084;32.237;925;128;203;123;132;96;9.418;9.684;9.492;9.209;9.582;454;112;385;659;322
2017;11;Bogota, D.C.;1.452.849;799;7.945;5.462;7.853;7.147;493;31.843;9.876;162;221;131;19;155;9.729;9.775;9.804;9.674;9.618;109;4;64;136;227
2017;13;Bolivar;486.067;907;9.058;6.287;8.822;7.296;4.318;25.846;3.917;265;337;224;315;232;9.116;9.567;9.198;8.847;9.214;619;96;578;838;554
2017;15;Boyaca;275.027;835;8.348;6.066;8.141;7.523;501;27.697;2.723;215;355;127;286;222;9.261;9.623;9.556;8.848;9.283;525;22;317;865;495
2017;17;Caldas;191.444;758;7.572;5.176;7.011;6.871;4.306;26.938;3.797;347;367;254;467;3;8.946;9.589;9.185;8.502;9.115;707;44;562;1.031;585
2017;18;Caqueta;124.222;744;7.437;4.649;7.367;5.611;2.484;28.152;83;673;723;581;831;584;9.051;9.237;9.164;8.794;9.152;276;4;255;375;264
2017;19;Cauca;303.777;833;8.332;4.993;8.453;6.701;3.406;20.127;3.201;276;236;174;407;355;9.066;9.643;9.221;8.702;9.074;659;121;605;891;571
2017;20;Cesar;259.051;991;9.892;6.389;9.633;7.705;4.361;30.738;2.642;398;552;367;445;257;9.056;9.343;9.146;8.806;918;546;105;487;749;563
2017;23;Cordoba;413.883;888;8.872;5.375;8.435;7.301;422;21.514;3.799;303;333;215;408;332;9.323;9.615;9.467;9.058;9.283;375;52;319;534;385
2017;25;Cundinamarca;579.364;918;9.156;5.722;8.927;8.165;5.157;20.136;2.904;257;325;184;342;23;9.405;962;9.579;9.135;9.457;337;54;237;522;313
2017;27;Choco;145.765;792;7.919;5.405;8.016;4.897;2.219;23.395;3.632;238;299;196;315;197;8.849;9.674;8.814;8.517;9.268;914;28;991;1.168;535
2017;41;Huila;268.582;853;8.517;6.202;8.405;7.308;4.014;28.256;2.576;414;332;275;64;352;8.657;9.631;9.065;7.834;8.798;93;37;66;1.526;849
2017;44;La Guajira;271.221;755;7.544;5.171;7.296;4.692;2.069;2.573;83;298;411;244;372;259;9.392;9.552;9.419;9.236;956;31;38;338;392;182
2017;47;Magdalena;327.940;936;933;5.703;8.781;7.005;3.923;2.688;4.971;257;346;248;266;188;9.462;9.572;9.431;9.434;9.594;28;82;32;3;218
2017;50;Meta;221.844;909;9.088;5.686;8.887;769;439;31.086;2.583;42;456;352;533;331;9.081;9.534;927;8.675;924;499;11;377;792;429
2017;52;Nariño;393.195;702;7.016;3.749;6.668;5.745;2.986;20.998;281;14;118;97;191;177;9.582;9.844;9.665;9.411;9.619;278;38;239;399;204
2017;54;Norte de Santander;304.148;904;903;6.133;9.297;7.365;3.983;30.323;3.044;36;412;273;481;354;9.186;9.471;9.438;8.761;9.144;454;117;29;758;502
2017;63;Quindio;108.156;778;7.769;4.543;7.086;7.273;4.818;29.872;2.294;492;516;397;628;4;8.868;9.457;9.148;8.403;9.009;64;27;455;969;591
2017;66;Risaralda;181.154;868;8.662;5.557;8.204;7.563;4.542;27.947;4.026;482;584;374;639;359;8.934;9.339;9.219;8.403;9.205;584;77;406;959;436
2017;68;Santander;398.621;965;9.633;6.375;9.504;8.529;5.123;29.433;3.201;267;374;197;337;251;9.127;958;9.396;8.676;9.161;607;46;406;987;588
2017;70;Sucre;197.947;973;972;6.967;9.521;7.617;4.405;23.538;4.438;27;326;217;34;229;8.786;96;8.889;8.342;8.932;943;73;894;1.318;839
2017;73;Tolima;303.140;84;8.391;506;8.139;7.188;4.379;27.924;2.391;293;353;245;365;225;9.006;9.598;9.231;8.536;9.191;701;49;524;1.098;584
2017;76;Valle del Cauca;873.860;804;8.021;4.995;7.638;7.103;4.074;2.888;4.705;371;424;311;448;324;8.959;9.492;9.159;855;9.198;67;84;529;1.003;478
2017;81;Arauca;75.197;75;7.502;4.731;7.396;584;3.087;21.767;3.581;363;39;328;423;321;9.631;961;9.672;9.577;9.607;7;0;0;0;73
2017;85;Casanare;88.626;978;9.772;7.103;9.681;8.176;4.606;26.656;1.569;268;298;219;338;231;9.241;9.694;9.405;8.872;9.371;491;8;375;789;398
2017;86;Putumayo;91.161;752;7.524;3.901;7.189;6.392;3.363;273;1.636;574;574;407;798;57;8.812;9.407;9.111;8.249;8.911;614;2;482;953;519
2017;88;San Andres;15.106;678;6.764;5.118;6.784;5.969;3.776;27.407;7.917;115;75;129;113;9;9.788;9.925;9.809;9.704;986;97;0;62;182;5
2017;91;Amazonas;22.269;836;821;4.895;8.056;6.067;3.005;20.971;165;488;638;306;698;623;8.745;9.271;9.004;82;8.658;767;91;691;1.101;719
2017;94;Guainia;11.965;80;7.998;596;7.883;3.662;882;25.747;1.667;768;935;614;1.036;697;7.679;8.273;7.842;7.035;7.966;1.553;792;1.544;1.929;1.337
2017;95;Guaviare;31.876;55;5.502;2.567;5.329;4.354;2.157;3.037;1.494;434;613;353;533;4;9.439;9.387;9.471;9.391;9.469;127;0;176;76;131
2017;97;Vaupes;12.668;665;6.538;2.337;6.539;3.927;1.403;14.709;1.339;8;877;605;1.169;785;8.089;9.064;7.981;801;8.499;1.112;58;1.414;821;715
2017;99;Vichada;22.282;779;7.793;4.615;7.959;3.387;1.491;21.875;377;865;947;797;1.048;74;763;899;7.275;7.822;8.512;1.505;63;1.929;113;749
2018;5;Antioquia;1.147.598;8.472;9.411;6.798;9.189;8.129;4.383;;;397;343;318;542;284;8.913;9.638;91;8.454;9.176;691;19;581;1.005;541
2018;8;Atlantico;521.630;9.253;9.134;6.154;8.902;7.655;4.927;;;155;224;149;165;109;9.357;9.584;9.411;9.175;9.545;488;192;44;66;346
2018;11;Bogota, D.C.;1.179.282;7.871;9.651;7.065;9.781;8.597;5.601;;;165;19;135;201;153;9.802;981;9.865;9.792;9.632;33;0;1;7;215
2018;13;Bolivar;455.784;9.271;986;6.974;9.725;7.938;4.417;;;275;365;235;319;24;9.031;955;9.126;8.738;9.104;693;86;639;943;656
2018;15;Boyaca;234.116;8.354;9.654;7.066;9.285;8.925;5.796;;;207;188;128;299;207;9.259;9.787;954;8.848;9.275;534;26;332;854;518
2018;17;Caldas;162.391;7.438;8.708;6.568;8.301;7.781;4.519;;;296;299;221;388;267;9.077;963;928;8.692;9.255;627;71;498;92;478
2018;18;Caqueta;98.639;7.314;9.204;5.917;9.089;6.946;3.222;;;55;654;461;691;451;9.262;9.304;938;9.051;9.306;188;42;159;257;243
2018;19;Cauca;301.714;8.372;8.317;5.516;8.455;6.621;3.358;;;258;225;172;377;289;9.033;9.683;914;8.707;91;709;92;688;916;611
2018;20;Cesar;288.411;10.141;9.073;5.881;878;7.127;3.994;;;398;524;373;445;251;9.035;9.389;9.151;8.727;9.194;568;87;476;828;556
2018;23;Cordoba;386.239;8.795;9.472;5.831;9.071;7.821;4.356;;;223;299;162;29;215;9.381;9.643;9.503;9.171;932;396;58;334;539;465
2018;25;Cundinamarca;547.875;9.249;9.791;67;9.858;864;5.034;;;289;359;209;389;233;9.211;9.567;9.456;8.831;9.264;5;74;335;78;503
2018;27;Choco;143.975;7.981;8.095;5.599;8.174;5.112;2.321;;;316;35;262;42;285;8.771;9.644;8.762;8.382;9.167;913;6;975;1.198;548
2018;41;Huila;242.238;8.504;9.428;7.097;924;8.128;4.475;;;421;338;276;65;371;861;9.634;9.022;778;8.717;969;28;702;157;911
2018;44;La Guajira;237.991;7.772;9.055;6.637;9.009;5.654;2.325;;;277;36;245;337;16;9.301;9.589;9.272;9.204;9.496;422;52;483;458;344
2018;47;Magdalena;317.652;9.521;9.769;6.236;917;7.392;4.066;;;326;363;293;37;294;9.358;9.571;9.409;9.211;9.438;315;66;298;419;267
2018;50;Meta;218.707;903;9.251;6.524;9.104;7.831;4.329;;;447;58;353;575;352;8.965;9.404;9.243;8.452;913;588;15;404;972;518
2018;52;Nariño;314.579;6.788;8.454;4.904;8.182;6.966;356;;;134;92;79;212;138;9.542;9.852;9.633;9.344;9.607;324;56;288;444;255
2018;54;Norte de Santander;307.526;9.358;9.162;6.588;9.176;745;4.056;;;395;492;336;47;349;9.055;9.468;9.265;867;9.017;55;4;399;86;634
2018;63;Quindio;83.383;7.615;9.835;6.793;9.526;8.906;5.466;;;417;471;318;539;345;8.917;9.486;923;8.434;9.052;667;43;453;1.027;602
2018;66;Risaralda;157.477;8.617;984;696;9.623;8.442;4.919;;;423;481;341;553;296;8.874;9.423;9.134;8.368;9.125;704;96;525;1.079;579
2018;68;Santander;401.463;9.779;9.606;6.751;9.488;8.383;4.963;;;32;424;241;41;27;8.946;9.531;9.315;8.361;8.996;734;45;444;1.229;735
2018;70;Sucre;201.443;9.808;9.599;7.216;9.533;7.531;4.167;;;278;342;216;362;224;8.736;9.524;8.893;8.225;8.903;986;133;891;1.413;873
2018;73;Tolima;255.496;8.388;9.854;7.209;982;8.351;4.672;;;302;354;237;389;248;9.056;9.611;9.292;8.606;9.204;642;35;471;1.005;548
2018;76;Valle del Cauca;861.316;7.927;8.036;5.398;7.619;7.145;402;;;326;383;274;399;249;8.922;9.567;9.163;8.465;9.117;752;5;563;1.136;634
2018;81;Arauca;60.962;7.702;9.493;6.166;9.381;7.465;3.666;;;263;283;221;332;235;9.729;9.717;9.779;9.668;968;8;0;0;0;86
2018;85;Casanare;92.859;9.681;9.305;7.143;9.101;7.886;4.409;;;269;308;212;347;231;9.077;9.636;9.326;8.572;9.233;654;57;462;1.081;536
2018;86;Putumayo;80.972;75;8.428;4.566;8.071;7.104;3.659;;;521;486;359;737;527;8.688;9.445;9.049;8.059;871;79;68;593;1.204;763
2018;88;Archipiélago de San Andrés, Providencia y Santa Catalina;10.853;6.734;934;6.869;9.296;8.423;509;;;197;161;247;18;71;9.379;9.839;9.493;907;9.551;425;0;26;75;378
2018;91;Amazonas;22.257;8.113;8.146;4.599;7.833;6.151;3.151;;;487;531;309;718;602;9.117;9.463;9.195;8.946;8.998;396;7;495;336;4
2018;94;Guainia;15.766;8.164;6.228;464;6.195;2.893;679;;;714;988;553;982;547;7.764;8.488;7.782;7.284;8.569;1.522;525;1.665;1.734;884
2018;95;Guaviare;21.118;557;8.461;4.244;821;665;3.114;;;336;401;258;463;263;8.778;9.455;9.049;8.178;8.875;886;144;693;1.359;862
2018;97;Vaupes;15.363;6.164;5.079;2.282;5.112;3.054;1.135;;;388;493;313;493;465;8.538;9.343;8.537;8.384;8.544;1.074;164;115;1.122;991
2018;99;Vichada;32.951;7.813;5.374;3.074;5.668;2.406;936;;;714;739;652;899;597;7.525;9.261;7.072;7.871;8.806;176;0;2.276;123;597
2019;5;Antioquia;1.149.985;94;9.383;6.786;9.024;826;4.504;;;402;373;329;533;295;8.838;9.609;9.073;8.311;9.137;759;18;598;1.156;568
2019;8;Atlantico;533.666;9.207;9.169;6.269;8.936;7.694;4.895;;;126;172;128;126;9;9.291;9.701;9.388;9.011;9.478;583;126;483;863;432
2019;11;Bogota, D.C.;1.181.531;9.682;963;6.911;9.622;8.752;5.549;;;16;212;138;182;141;975;9.785;9.808;972;9.625;9;3;53;98;234
2019;13;Bolivar;461.988;9.944;9.933;6.767;9.781;8.064;4.543;;;299;401;263;342;238;905;9.517;9.167;8.733;9.158;651;82;57;925;604
2019;15;Boyaca;234.368;966;9.651;6.907;9.204;9.011;5.933;;;205;203;129;28;226;9.202;9.775;9.523;8.746;9.226;593;23;347;975;548
2019;17;Caldas;161.892;8.598;8.588;6.461;8.079;7.745;4.642;;;331;282;267;432;27;8.901;9.664;9.188;8.372;9.123;768;53;546;1.195;607
